sigla,especificacao_papel
PNC ED,Ações Preferenciais Classe C Preferencial Classe C Ex-Dividendo
PNC P,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE C
PNC REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
PND,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE D
PND ED,Ações Preferenciais Classe D Ex-Dividendo
PND P,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE D
PND REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
PNE,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE E
PNE ED,Ações Preferenciais Classe E Ex-Dividendo
PNE P,ACÕES PREFERÊNCIAIS NOMINATIVAS CLASSE E
PNE REC,RECIBO DE SUBSCRIÇÃO EM ACÕES PREFERENCIAIS
